iter	Passed	Remaining
303	719	1648
304	721	1643
305	722	1639
306	724	1634
307	725	1630
308	726	1625
309	728	1621
310	729	1617
311	731	1612
312	732	1608
313	734	1603
314	735	1599
315	736	1594
316	738	1590
317	739	1586
318	741	1582
319	742	1578
320	744	1574
321	745	1570
322	746	1565
323	748	1561
324	749	1557
325	751	1553
326	752	1549
327	754	1545
328	755	1541
329	757	1537
330	758	1533
331	760	1530
332	762	1526
333	763	1522
334	764	1518
335	766	1514
336	767	1510
337	769	1506
338	770	1502
339	772	1498
340	773	1495
341	775	1491
342	776	1487
343	778	1483
344	779	1479
345	780	1476
346	782	1472
347	783	1468
348	785	1464
349	786	1460
350	788	1457
351	789	1453
352	791	1450
353	792	1446
354	793	1442
355	795	1438
356	796	1434
357	798	1431
358	799	1427
359	801	1424
360	803	1421
361	804	1418
362	806	1414
363	807	1411
364	809	1407
365	810	1403
366	812	1400
367	813	1397
368	815	1393
369	816	1390
370	818	1387
371	819	1383
372	820	1379
373	822	1376
374	823	1373
375	825	1369
376	826	1366
377	828	1362
378	829	1359
379	831	1356
380	832	1353
381	834	1349
382	835	1346
383	837	1342
384	838	1339
385	840	1336
386	841	1332
387	842	1329
388	844	1325
389	845	1322
390	847	1319
391	848	1316
392	850	1313
393	851	1310
394	853	1307
395	854	1304
396	856	1300
397	858	1297
398	859	1294
399	861	1291
400	862	1288
401	864	1285
402	865	1282
403	866	1278
404	868	1275
405	869	1272
406	871	1269
407	872	1265
408	873	1262
409	875	1259
410	876	1256
411	878	1253
412	879	1250
413	881	1247
414	882	1244
415	883	1240
416	885	1237
417	886	1234
418	888	1231
419	889	1229
420	891	1226
421	893	1223
422	894	1220
423	896	1217
424	897	1214
425	899	1211
426	900	1208
427	901	1205
428	903	1202
429	904	1199
430	906	1196
431	907	1193
432	909	1190
433	910	1188
434	912	1185
435	913	1182
436	915	1179
437	916	1176
438	918	1173
439	919	1170
440	921	1167
441	922	1164
442	924	1162
443	925	1159
444	927	1156
445	928	1153
446	930	1150
447	931	1148
448	933	1145
449	934	1142
450	936	1139
451	937	1136
452	938	1133
453	940	1130
454	941	1128
